"","Protein","x"
"3431","Q92802",""
"3432","Q86UW6",""
"3433","O15049",""
"3434","Q13564","hsa05010"
"3435","Q8NBZ9",""
"3436","Q8NET5",""
"3437","Q5M9Q1",""
"3438","Q8N9T2",""
"3439","Q8N5F7",""
"3440","P25963","hsa04024 hsa04062 hsa04064 hsa04210 hsa04380 hsa04620 hsa04621 hsa04622 hsa04623 hsa04660 hsa04662 hsa04668 hsa04722 hsa04920 hsa04931 hsa05120 hsa05131 hsa05134 hsa05140 hsa05142 hsa05145 hsa05160 hsa05161 hsa05162 hsa05164 hsa05166 hsa05168 hsa05169 hsa05200 hsa05203 hsa05215 hsa05220 hsa05222"
"3441","Q15653","hsa04062 hsa04621 hsa04622 hsa04623 hsa04660 hsa04662 hsa04722 hsa04920 hsa05131 hsa05140 hsa05145 hsa05162 hsa05164 hsa05168 hsa05169"
"3442","Q8NI38",""
"3443","O00221","hsa04660 hsa04662 hsa04722 hsa04920 hsa05169"
"3444","Q9NYS0",""
"3445","Q9NYR9",""
"3446","Q9UBC1",""
"3447","Q9BYH8","hsa05202"
"3448","O15226",""
"3449","Q9Y697","hsa00730 hsa01100 hsa04122"
"3450","Q9UMS0",""
"3451","Q13506",""
"3452","Q15742",""
"3453","Q9GZT8",""
"3454","Q8NBF2",""
"3455","Q5JS37",""
"3456","P0CG21",""
"3457","Q6VVB1","hsa04120"
"3458","Q9NX24","hsa03008"
"3459","Q6T4R5",""
"3460","Q5SYE7",""
"3461","Q5HYW2",""
"3462","Q8IY84",""
"3463","Q96PY6",""
"3464","Q6ZWH5",""
"3465","Q8NG66",""
"3466","P51955",""
"3467","P51956",""
"3468","P51957",""
"3469","Q6P3R8",""
"3470","Q9HC98",""
"3471","Q8TDX7",""
"3472","Q86SG6",""
"3473","Q8TD19",""
"3474","Q9ULX3","hsa03008"
"3475","Q9Y221",""
"3476","Q6NVV3",""
"3477","Q9H841",""
"3478","Q6P499",""
"3479","Q0D2K0",""
"3480","Q6KC79",""
"3481","Q15270",""
"3482","Q9UD57",""
"3483","P43699",""
"3484","O95096","hsa04950"
"3485","Q8TAU0",""
"3486","Q9H2Z4",""
"3487","P52952",""
"3488","A6NCS4",""
"3489","O15522",""
"3490","Q99801","hsa05200 hsa05215"
"3491","P78367",""
"3492","P78426","hsa04950"
"3493","Q9C056",""
"3494","A6NJ46",""
"3495","Q7RTR2",""
"3496","Q9NPP4","hsa04621 hsa05132 hsa05134"
"3497","Q86WI3",""
"3498","Q13075","hsa04621 hsa05134"
"3499","Q86UT6","hsa04622 hsa05164"
"3500","Q9C000","hsa04621"
"3501","Q86W26",""
"3502","P59045",""
"3503","P59046",""
"3504","Q86W25",""
"3505","Q86W24",""
"3506","Q9NX02",""
"3507","P0DMW2",""
"3508","Q96P20","hsa04621 hsa05133 hsa05164"
"3509","Q96MN2",""
"3510","P59047",""
"3511","P59044",""
"3512","Q8WX94",""
"3513","Q86W28",""
"3514","Q7RTR0",""
"3515","Q96D46","hsa03008 hsa03013"
"3516","Q6X4W1",""
"3517","P56597","hsa00230 hsa00240 hsa01100 hsa01130"
"3518","Q9Y5B8","hsa00230 hsa00240 hsa01100 hsa01130"
"3519","Q8N427",""
"3520","Q86XW9",""
"3521","P15531","hsa00230 hsa00240 hsa01100 hsa01130"
"3522","O60361",""
"3523","P22392","hsa00230 hsa00240 hsa01100 hsa01130"
"3524","Q13232","hsa00230 hsa00240 hsa01100 hsa01130"
"3525","O00746","hsa00230 hsa00240 hsa01100 hsa01130"
"3526","O75414","hsa00230 hsa00240 hsa01100 hsa01130"
"3527","O60393",""
"3528","Q9Y3T9",""
"3529","Q8WTT2",""
"3530","Q15155",""
"3531","Q5JPE7",""
"3532","P69849",""
"3533","Q9NPE3","hsa03008"
"3534","P78316",""
"3535","Q9Y3C1",""
"3536","P46087",""
"3537","Q08J23",""
"3538","Q9H649",""
"3539","Q96CB9",""
"3540","Q3KNT7",""
"3541","Q63ZY6",""
"3542","Q96P11",""
"3543","Q8TEA1",""
"3544","Q8NE18",""
"3546","Q9Y2X3","hsa03008"
"3547","Q86U38",""
"3548","Q7Z6K4",""
"3549","Q6P988",""
"3550","P51513",""
"3551","Q9UNW9",""
"3552","O15118","hsa04142"
"3553","P61916","hsa04142"
"3554","Q9UHC9","hsa04975"
"3555","O60500",""
"3556","Q9NP85",""
"3558","Q8WTW4",""
"3559","Q12980",""
"3560","Q9H7Z3",""
"3561","O95478",""
"3562","Q8WV22",""
"3563","Q96MF7",""
"3564","Q96MG7",""
"3565","Q9NXX6",""
"3566","P54920","hsa04721"
"3567","Q9H115",""
"3568","Q99747",""
"3570","Q96IY1",""
"3571","Q6ZSK4",""
"3572","Q17RQ9",""
"3573","O60285",""
"3574","Q9H093",""
"3575","Q9BZD4",""
"3576","Q9UHK0",""
"3577","Q7Z417",""
"3578","Q9Y6R0","hsa04330"
"3579","P49757","hsa04330"
"3580","Q96E22","hsa00900"
"3581","Q8IVF1",""
"3582","A6NNL0",""
"3583","Q5VT03",""
"3584","B1AL46",""
"3585","A1L443",""
"3586","Q5VZR2",""
"3587","Q86Y26",""
"3588","Q9P2P1",""
"3589","Q4KMZ8",""
"3590","Q5VXU1",""
"3591","Q8N8D7",""
"3592","Q8IVV8",""
"3593","Q8N7R0",""
"3594","Q6NSW7",""
"3595","Q9H9S0","hsa04550 hsa05205"
"3596","Q9BT67",""
"3597","Q9NV92",""
"3598","Q7Z2Y5",""
"3599","Q9HBL8",""
"3600","Q96RS6",""
"3601","Q8WVJ2",""
"3602","Q8IVD9",""
"3603","P16455",""
"3604","Q9Y530",""
"3605","O15294","hsa00514 hsa04931"
"3606","Q9H4B0",""
"3607","Q9NPF4",""
"3608","Q04671",""
"3609","Q9NX40",""
"3610","Q56VL3",""
"3611","Q01968","hsa00562 hsa01100 hsa04070"
"3612","O75665",""
"3613","Q96E52",""
"3614","O60313",""
"3615","Q96D31","hsa04020 hsa04024 hsa04611 hsa04924 hsa04925 hsa05340"
"3616","Q96SN7","hsa04020"
"3617","Q9BRQ5","hsa04020"
"3618","Q9P0S3",""
"3619","Q53FV1",""
"3620","Q8N138",""
"3621","Q13438","hsa04141"
"3622","Q5VV17",""
"3623","Q5T2D3",""
"3624","Q01804",""
"3625","Q96G74","hsa04622"
"3626","Q7L8S5",""
"3627","Q8TE49",""
"3628","Q6GQQ9",""
"3629","Q96BN8",""
"3630","Q96FW1",""
"3631","Q96DC9",""
"3632","Q8N6M0",""
"3633","Q15070","hsa03060"
"3634","Q9NTK5",""
"3635","O43482",""
"3636","Q8N7H5",""
"3637","O75459",""
"3638","Q7Z2X7",""
"3639","Q5JRK9",""
"3640","Q5JUK9",""
"3641","O60829",""
"3642","Q96GU1",""
"3643","Q9NWT1",""
"3644","Q504Q3","hsa03018"
"3645","Q58A45","hsa03018"
"3646","Q5QFB9",""
"3647","Q8N7B6",""
"3648","Q96M98",""
"3649","Q8NA58",""
"3650","Q9NWS1",""
"3651","Q8IV76",""
"3652","Q96RG2",""
"3653","Q86TB9","hsa03018"
"3654","C9JE40",""
"3655","Q8NI35","hsa04390 hsa04530"
"3656","Q6ZW49",""
"3657","Q9Y5B6",""
"3658","Q9BTK6",""
"3659","P40424","hsa05202"
"3660","P40425",""
"3661","P40426","hsa05202"
"3662","Q9BYU1",""
"3663","Q96AQ6",""
"3664","P55347",""
"3665","Q96KN3",""
"3666","Q9H1Q7",""
"3667","Q96HM7",""
"3668","O75475",""
"3669","O94913","hsa03015"
"3670","Q5JVF3",""
"3671","Q13442",""
"3672","Q8N165",""
"3673","Q29RF7",""
"3674","Q9NTI5",""
"3675","Q9H4Z3",""
"3676","O00151",""
"3677","Q96JY6",""
"3678","Q53GG5",""
"3679","P50479",""
"3680","Q96HC4",""
"3681","Q9NR12",""
"3682","Q96KB5",""
"3683","A8MUH7",""
"3684","Q5T2W1",""
"3685","Q5EBL8",""
"3686","O15018",""
"3687","Q86UT5",""
"3688","Q76G19",""
"3689","Q9H5P4",""
"3690","Q8NEN9",""
"3691","Q8IXQ8",""
"3692","Q9UPQ7",""
"3693","Q6ZMN7",""
"3694","Q13113",""
"3695","Q96FX8","hsa04115"
"3696","Q8WW12",""
"3697","P0DJ07",""
"3698","Q6UWS5",""
"3699","Q96HS1","hsa04668"
"3700","O60346","hsa04151"
"3701","Q6ZVD8","hsa04151"
"3702","Q9P1Y6",""
"3703","O43189",""
"3704","Q8WUB8",""
"3705","Q9UIL8",""
"3706","Q96QT6",""
"3707","Q86YI8",""
"3708","O94880",""
"3709","Q5T6S3",""
"3710","O75151",""
"3711","Q9BVI0",""
"3712","A8MW92",""
"3713","Q96BD5",""
"3714","Q96EK2",""
"3715","Q9BUL5",""
"3716","Q9UPV7",""
"3717","Q92576",""
"3718","Q7RTV0","hsa03040"
"3719","Q8IWS0",""
"3720","Q9BWX1",""
"3721","Q9UPP1",""
"3722","Q9H611",""
"3723","A0A0B4J2F0",""
"3724","Q96I23",""
"3725","Q9NWS0",""
"3726","Q8WWB5",""
"3727","Q9NQM4",""
"3728","Q5SR53",""
"3729","Q8IYJ0",""
"3730","Q96BK5",""
"3731","A2A3N6",""
"3732","Q9GZP4",""
"3733","Q9BZ71",""
"3734","A1L4L8",""
"3735","Q9UM63",""
"3736","Q9UPG8",""
"3737","Q6DJT9",""
"3738","Q96QH2",""
"3739","P54277",""
"3740","A4D2B8",""
"3741","Q13670",""
"3742","O95744",""
"3743","Q13401",""
"3744","A8MQ11",""
"3745","P54278","hsa03430 hsa03460"
"3746","Q68D20",""
"3747","Q8TF01",""
"3748","Q8NBT0",""
"3749","Q8TC44",""
"3750","Q8NA72",""
"3751","Q6PJE2",""
"3752","A6NNC1",""
"3753","A6NF01",""
"3754","A8CG34","hsa03013"
"3755","Q8N7R1",""
"3756","Q96KW2","hsa03013"
"3757","Q3SYA9",""
"3758","Q96HA1","hsa03013"
"3759","Q99575","hsa03008 hsa03013"
"3760","O95707","hsa03008 hsa03013"
"3761","Q969H6","hsa03008 hsa03013"
"3762","O75817","hsa03008 hsa03013"
"3763","Q6S8J7",""
"3764","H3BUK9, A0A0A6YYL3",""
"3765","A0JP26",""
"3766","B2RU33",""
"3767","Q86YR6",""
"3768","Q6S8J3",""
"3769","A5A3E0",""
"3770","Q6S5H5",""
"3771","Q6S545",""
"3772","P0CG38",""
"3773","P0CG39",""
"3774","Q9BYX7",""
"3775","A6NI47",""
"3776","P28069",""
"3777","Q16633",""
"3778","P14859",""
"3779","P09086",""
"3780","Q9UKI9",""
"3781","Q03052",""
"3782","P20265",""
"3783","P20264",""
"3784","P49335",""
"3785","Q01851",""
"3786","Q12837",""
"3787","Q15319",""
"3788","Q01860","hsa04550"
"3789","Q06416","hsa04550"
"3790","Q14863",""
"3791","P78424",""
"3792","Q8N7G0",""
"3793","Q9HBE1",""
"3794","Q9UBK2","hsa04152 hsa04910 hsa04920 hsa04922 hsa04931 hsa05016"
"3795","Q86YN6","hsa04931"
"3796","Q5SV97",""
"3797","Q86W92",""
"3798","Q8ND30",""
"3799","E7EU14","hsa04010"
"3800","Q8N2U9",""
"3801","A1A4F0",""
"3802","Q6ZP29",""
"3803","Q8N755",""
"3804","O75626",""
"3805","Q9NQV6",""
"3806","Q9NQV5",""
"3807","Q9H4Q4",""
"3808","Q9H4Q3",""
"3809","Q9GZV8",""
"3810","P57071",""
"3811","Q9HAZ2",""
"3812","Q13029",""
"3813","Q9UKN5","hsa04722"
"3814","Q9NQX1",""
"3815","Q9NQX0",""
"3816","Q9NQW5",""
"3817","Q9NQV8",""
"3818","Q9NQV7",""
"3819","O60831",""
"3820","O95521",""
"3821","O60809",""
"3822","O60813",""
"3823","O95522",""
"3824","Q5VWM6",""
"3825","Q5SWL7",""
"3826","Q5VWM5",""
"3827","Q5VTA0",""
"3828","Q5VWM3",""
"3829","Q5SWL8",""
"3830","O60811",""
"3831","Q5VT98",""
"3832","A3QJZ6",""
"3833","A6NGN4",""
"3834","H0Y7S4",""
"3835","A3QJZ7",""
"3836","A0A0G2JMD5",""
"3837","O60810",""
"3838","Q5TYX0",""
"3839","Q5VXH4",""
"3840","Q5VXH5",""
"3841","Q5VWM4",""
"3842","Q9Y255",""
"3843","Q8N945",""
"3844","Q96N28",""
"3845","Q9Y3B1",""
"3846","Q9H875",""
"3847","O75360",""
"3848","Q9P2W1",""
"3849","Q96PY0",""
"3850","Q8NI37",""
"3851","Q9BXM7","hsa05012"
"3852","Q8N1Y9",""
"3853","O14603",""
"3854","Q13136",""
"3855","O75334",""
"3856","O75145",""
"3857","O75335",""
"3858","Q13610",""
"3859","Q15269","hsa03008"
"3860","Q96N64",""
"3861","Q6NUJ5",""
"3862","Q5TGL8",""
"3863","Q7Z7A4",""
"3864","I3L0S3",""
"3866","Q9BRP8","hsa03013 hsa03015"
"3867","P20742",""
"3868","Q8NB37",""
"3869","Q99497","hsa05012"
"3870","P11309","hsa04630 hsa05206 hsa05221"
"3871","Q9P1W9","hsa05221"
"3872","Q86V86",""
"3873","Q8IVA1",""
"3874","A6NKN8",""
"3875","P48539",""
"3876","B1ANY3",""
"3877","Q71RG6",""
"3878","A8MX19",""
"3879","A8MWP4",""
"3880","Q96PU8",""
"3881","Q2MKA7",""
"3882","Q6UXX9",""
"3883","Q9BXY4",""
"3884","Q2I0M5",""
"3885","Q7Z5L2",""
"3886","Q9Y3T6",""
"3887","Q15032",""
"3888","Q9Y2K5",""
"3889","Q96D70",""
"3890","Q9H3Y0",""
"3891","Q5R372, B7ZAP0",""
"3892","Q9Y3P9",""
"3893","Q9UJ41",""
"3894","P47224",""
"3895","Q3YEC7",""
"3896","Q5HYI8",""
"3897","Q9UBK7",""
"3898","Q9UNT1",""
"3900","Q6WKZ4","hsa04144"
"3901","Q7L804","hsa04144"
"3902","O75154","hsa04144"
"3903","Q86YS3","hsa04144"
"3904","Q9BXF6","hsa04144"
"3905","P62491","hsa04144 hsa04961 hsa04962 hsa04972"
"3906","Q15907","hsa04144 hsa04152 hsa04962"
"3907","Q6IQ22",""
"3909","P61106","hsa04152"
"3910","Q6BDI9",""
"3911","P59190",""
"3912","Q9H0T7",""
"3913","Q9NP72",""
"3914","A4D1S5",""
"3915","P62820","hsa05134"
"3916","Q9H0U4","hsa05134"
"3917","Q92928",""
"3918","Q9NX57",""
"3919","Q9UL25",""
"3920","Q9UL26","hsa04144"
"3921","Q9ULC3",""
"3922","Q969Q5",""
"3923","P57735",""
"3924","Q9ULW5",""
"3925","P51159",""
"3926","O00194","hsa04972"
"3927","P51157",""
"3928","O14966",""
"3929","P61019","hsa04152"
"3930","Q8WUD1",""
"3931","Q9H2M9",""
"3932","Q15042",""
"3933","Q15771",""
"3934","Q13636","hsa04144"
"3935","Q13637",""
"3936","Q14088",""
"3937","Q9H082",""
"3938","P0DI83, Q9BZG1",""
"3939","Q15286","hsa04144"
"3940","O95755",""
"3941","Q96AX2",""
"3942","P57729",""
"3943","Q14964",""
"3944","Q96DA2",""
"3945","Q8TBN0",""
"3946","Q96QF0",""
"3947","P20336","hsa04721 hsa04911"
"3948","P20337",""
"3949","Q96E17",""
"3950","O95716","hsa04972"
"3951","Q8WXH6",""
"3952","P0C0E4",""
"3953","Q12829",""
"3954","Q96S21",""
"3955","Q5JT25",""
"3956","Q8N4Z0",""
"3957","Q86YS6",""
"3958","Q7Z6P3",""
"3959","P20338","hsa04144"
"3960","P61018",""
"3961","P20339","hsa04014 hsa04144 hsa04145 hsa04962 hsa05014 hsa05146 hsa05152"
"3962","P61020","hsa04014 hsa04144 hsa04145 hsa04962 hsa05146 hsa05152"
"3964","P20340",""
"3965","Q9NRW1",""
"3966","Q9H0N0",""
"3967","Q53S08",""
"3968","P51149","hsa04144 hsa04145 hsa05132 hsa05146 hsa05152"
"3969","Q96AH8","hsa04145 hsa05132 hsa05146"
"3970","P61006","hsa04144 hsa04152 hsa04972"
"3971","Q92930",""
"3972","P51151","hsa05162"
"3973","Q9NP90","hsa05162"
"3974","O60671",""
"3975","O75943",""
"3976","Q9NS91",""
"3977","Q9H4I0",""
"3978","O60216","hsa04110"
"3979","P54725","hsa03420 hsa04141"
"3980","P54727","hsa03420 hsa04141"
"3981","Q92878","hsa03440 hsa03450"
"3982","Q6NUQ1",""
"3983","Q96B01",""
"3984","Q09MP3",""
"3985","O15315","hsa03440"
"3986","O43502","hsa03440 hsa03460"
"3987","O75771","hsa03440"
"3988","Q06609","hsa03440 hsa03460 hsa05200 hsa05212"
"3989","P43351","hsa03440"
"3990","Q8NG50",""
"3991","O95073, Q9Y620","hsa03440"
"3992","Q92698","hsa03440"
"3993","Q9Y4B4",""
"3994","Q99638",""
"3995","Q6WBX8",""
"3996","Q9BSD3",""
"3997","Q96D71",""
"3998","Q8NFH8",""
"3999","Q86SE5",""
"4000","Q9UKM9",""
"4001","P43487","hsa05166 hsa05203"
"4002","Q6VN20",""
"4003","Q9H2T7",""
"4005","Q86VV4",""
"4006","Q9H6Z4","hsa05166"
"4007","O60518",""
"4008","Q96S59",""
"4009","Q9HD47",""
"4010","P62826","hsa03008 hsa03013 hsa05166"
"4011","P0DJD0","hsa03013"
"4012","P0DJD1","hsa03013"
"4013","A6NKT7","hsa03013"
"4014","Q7Z3J3","hsa03013"
"4015","Q99666","hsa03013"
"4016","O14715","hsa03013"
"4017","Q9BYM8",""
"4018","Q684P5",""
"4019","P47736","hsa04015"
"4020","P62834","hsa04010 hsa04014 hsa04015 hsa04024 hsa04062 hsa04510 hsa04611 hsa04670 hsa04720 hsa04722 hsa04972 hsa05211"
"4021","A6NIZ1",""
"4022","P61224","hsa04010 hsa04014 hsa04015 hsa04024 hsa04062 hsa04510 hsa04611 hsa04670 hsa04720 hsa04722 hsa04972 hsa05211"
"4023","P10114",""
"4024","P61225",""
"4025","Q9Y3L5",""
"4026","P35398","hsa04710 hsa05321"
"4027","Q92753","hsa04710"
"4028","P51449","hsa04710 hsa05321"
"4029","Q8IZ41",""
"4030","O95267","hsa04010 hsa04014 hsa04611 hsa04660 hsa05200"
"4031","Q7LDG7","hsa04010 hsa04014 hsa04015 hsa04062 hsa04611 hsa05200"
"4032","Q8IV61","hsa04010 hsa04014 hsa04015 hsa04662 hsa05200"
"4033","Q8TDF6","hsa04010 hsa04014 hsa05200"
"4034","Q96A58",""
"4035","Q92737",""
"4036","Q96S79",""
"4037","Q6T310",""
"4038","Q9BPW5",""
"4039","Q9NYN1",""
"4040","P11233","hsa04014 hsa04015 hsa05200 hsa05212"
"4041","P11234","hsa04014 hsa04015 hsa05200 hsa05212"
"4042","P20936","hsa04010 hsa04014 hsa04360"
"4043","Q15283","hsa04010 hsa04014 hsa05203"
"4044","Q14644","hsa04014"
"4045","O43374","hsa04014"
"4046","C9J798","hsa04014"
"4047","O95294","hsa04014"
"4049","Q86YV0","hsa04014"
"4050","Q96D21",""
"4051","Q9NYW8",""
"4052","Q09028",""
"4053","Q15291",""
"4054","Q7Z6E9",""
"4055","Q16576",""
"4056","Q99708",""
"4057","O75884",""
"4058","P06400","hsa04110 hsa05161 hsa05166 hsa05169 hsa05200 hsa05203 hsa05212 hsa05214 hsa05215 hsa05218 hsa05219 hsa05220 hsa05222 hsa05223"
"4059","P28749","hsa04110 hsa04350 hsa05203"
"4060","Q08999","hsa04068 hsa04110 hsa04151 hsa05203"
"4061","Q8TDY2",""
"4062","A6NC62",""
"4063","Q8NC74",""
"4064","Q9P1G2",""
"4065","Q96K30",""
"4066","Q9UKA8",""
"4067","Q8NDN9",""
"4068","O95199",""
"4069","A6NED2",""
"4070","Q96I51",""
"4071","Q6JBY9",""
"4072","Q13127","hsa04550 hsa05016"
"4073","Q7Z4M0",""
"4074","O95072","hsa04114"
"4075","Q04864","hsa04014 hsa05202 hsa05203"
"4076","Q04206","hsa04010 hsa04014 hsa04024 hsa04062 hsa04064 hsa04066 hsa04071 hsa04151 hsa04210 hsa04380 hsa04620 hsa04621 hsa04622 hsa04623 hsa04660 hsa04662 hsa04668 hsa04722 hsa04917 hsa04920 hsa04931 hsa04932 hsa05030 hsa05120 hsa05131 hsa05132 hsa05133 hsa05134 hsa05140 hsa05142 hsa05145 hsa05146 hsa05152 hsa05160 hsa05161 hsa05162 hsa05164 hsa05166 hsa05168 hsa05169 hsa05200 hsa05202 hsa05203 hsa05212 hsa05215 hsa05220 hsa05221 hsa05222 hsa05321"
"4077","Q01201","hsa04010 hsa04064 hsa04380 hsa05166 hsa05169"
"4078","Q8IUW5",""
"4079","Q8NC24",""
"4080","Q969Z4","hsa04060"
"4081","Q9BU20",""
"4082","Q9H628",""
"4083","Q9UKL0","hsa05016"
"4084","Q8IZ40",""
"4085","Q9P2K3",""
"4086","Q9UBZ9","hsa03460"
"4087","O60673","hsa01100 hsa03460"
"4088","Q8IX06",""
"4089","Q9GZR2",""
"4090","Q9Y644","hsa00514 hsa04330"
"4091","P0C7P2",""
"4092","Q96AA3",""
"4093","Q6ZV50",""
"4094","Q92546",""
"4095","Q9BWJ2",""
"4096","Q8N443",""
"4097","Q9H4K1",""
"4098","Q4ADV7",""
"4099","Q7Z5B4",""
"4100","Q9NPQ8",""
"4101","Q9NVN3",""
"4102","O15034",""
"4103","Q9UFD9",""
"4104","A6NNM3",""
"4105","A6NJZ7",""
"4106","Q8N488",""
"4107","Q9BRS2","hsa03008"
"4108","Q9BVS4","hsa03008"
"4109","O14730",""
"4110","Q9Y3I0",""
"4111","O00442",""
"4112","P98179",""
"4113","P98175",""
"4114","P57052",""
"4115","Q9NTZ6",""
"4116","Q8IXT5",""
"4117","Q96PK6",""
"4118","Q96T37",""
"4119","Q8NDT2",""
"4120","Q96I25","hsa03040"
"4121","Q96H35",""
"4122","Q9Y4C8",""
"4123","Q5T481",""
"4124","Q9NW64","hsa03040"
"4125","Q86U06",""
"4126","Q9BX46",""
"4128","Q5T8P6",""
"4129","Q9P2N5",""
"4131","Q96EV2",""
"4132","P42696",""
"4133","Q9H0Z9",""
"4134","Q14498",""
"4135","Q9BWF3",""
"4136","Q96IZ5",""
"4137","Q9BTD8",""
"4138","Q6ZSC3",""
"4139","Q6ZP01",""
"4140","Q8IUH3",""
"4141","Q8TBY0",""
"4142","A0AV96",""
"4143","Q5RL73",""
"4144","Q9BQ04",""
"4145","P52756",""
"4146","P78332",""
"4147","Q9Y580",""
"4148","Q9Y5S9","hsa03013 hsa03015 hsa03040"
"4149","Q9Y388",""
"4150","Q96E39","hsa03040"
"4151","O75526","hsa03040"
"4152","Q8N7X1","hsa03040"
"4153","P38159","hsa03040"
"4154","P0DJD3",""
"4155","A6NDE4",""
"4156","P0DJD4",""
"4157","P0C7P1",""
"4158","A6NEQ0",""
"4159","Q15415",""
"4160","P29558",""
"4161","Q15434",""
"4162","Q6XE24",""
"4163","Q6ZRY4",""
"4164","Q93062",""
"4165","Q15287","hsa03013 hsa03015"
"4166","Q9NWB1",""
"4167","O43251",""
"4168","A6NFN3",""
"4169","Q96LT9",""
"4170","Q8N1G1","hsa03008"
"4171","Q9Y3B8","hsa03008"
"4172","O43148","hsa03015"
"4173","O60942","hsa03015"
"4174","O95602","hsa00230 hsa00240 hsa01100 hsa03020"
"4175","Q9H9Y6","hsa00230 hsa00240 hsa01100 hsa03020"
"4177","Q9GZS1","hsa00230 hsa00240 hsa01100 hsa03020"
"4178","Q9BWH6",""
"4179","Q8IXW5",""
"4180","Q9H6T3",""
"4181","P24928","hsa00230 hsa00240 hsa01100 hsa03020 hsa05016 hsa05168"
"4183","P19387","hsa00230 hsa00240 hsa01100 hsa03020 hsa05016"
"4184","O15514","hsa00230 hsa00240 hsa01100 hsa03020 hsa05016"
"4185","P19388","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623 hsa05016"
"4186","P61218","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623 hsa05016"
"4187","P62487","hsa00230 hsa00240 hsa01100 hsa03020 hsa05016"
"4188","P52434","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623 hsa05016"
"4189","P36954","hsa00230 hsa00240 hsa01100 hsa03020 hsa05016"
"4190","P52435","hsa00230 hsa00240 hsa01100 hsa03020 hsa05016"
"4191","Q9GZM3","hsa00230 hsa00240 hsa01100 hsa03020 hsa05016"
"4192","Q9H1A7","hsa00230 hsa00240 hsa01100 hsa03020 hsa05016"
"4193","P53803","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623 hsa05016"
"4194","P62875","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623 hsa05016"
"4195","P0CAP1, P0CAP2, Q6EEV4",""
"4196","O14802","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4197","Q9NW08","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4198","Q9BUI4","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4199","P05423","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4200","Q9NVU0","hsa00230 hsa00240 hsa03020 hsa04623"
"4201","Q9H1D9","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4202","Q9BT43","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4203","O15318","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4204","Q9Y535","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4205","Q9Y2Y1","hsa00230 hsa00240 hsa01100 hsa03020 hsa04623"
"4206","O00411",""
"4207","Q9UJJ7",""
"4208","Q8IZ73",""
"4209","Q6P087",""
"4210","Q96CM3",""
"4211","Q9Y2P8","hsa03008"
"4212","P08922",""
"4213","Q86UA6",""
"4214","Q16518","hsa00830"
"4215","Q68CZ1",""
"4216","Q6R327","hsa04150"
"4217","O75628",""
"4218","Q8IYK8",""
"4219","P55042",""
"4220","Q2M238",""
"4221","A6NIE6",""
"4222","Q9NYV6",""
"4223","Q92541",""
"4224","Q96T51","hsa04144"
"4225","Q8WXA3",""
"4226","Q7L099",""
"4227","Q6ZNE9",""
"4228","Q9BVN2",""
"4229","Q8N2Y8",""
"4230","Q9H714",""
"4231","Q92622",""
"4232","Q96C34",""
"4233","Q59EK9",""
"4234","Q96NL0",""
"4235","Q06455","hsa05200 hsa05202 hsa05221"
"4236","Q66K80",""
"4237","Q9H446",""
"4238","Q9UIY3",""
"4239","P57060",""
"4240","Q9Y3V2",""
"4241","Q6NW29",""
"4242","Q9UI14",""
"4243","Q92696",""
"4244","P53611",""
"4245","Q5EBL4",""
"4246","Q969X0",""
"4247","Q96NA2","hsa04145 hsa05132"
"4248","Q7Z6M1",""
"4249","Q9H0H5",""
"4250","Q15052","hsa04810 hsa05212"
"4252","Q5JS13",""
"4253","Q86X27",""
"4254","Q6GYQ0",""
"4255","Q2PPJ7",""
"4256","Q86X10",""
"4257","P46060","hsa03013"
"4258","Q96JH8",""
"4259","Q13905","hsa04015 hsa04510 hsa04722 hsa04910 hsa05211"
"4260","Q9Y4G8","hsa04010 hsa04015"
"4261","O95398","hsa04015 hsa04024 hsa04261 hsa04670 hsa04720 hsa04726"
"4262","Q8WZA2","hsa04015 hsa04024 hsa04261 hsa04670 hsa04911"
"4263","Q92565","hsa04014 hsa04015"
"4264","Q8TEU7","hsa04015"
"4265","Q9UHV5",""
"4266","P52306",""
"4267","Q13671","hsa04014"
"4268","Q8WYP3",""
"4269","Q8TB24",""
"4270","Q6ZS11",""
"4271","Q70E73",""
"4272","Q9NS23","hsa04014 hsa04390 hsa05200 hsa05206 hsa05219 hsa05223"
"4273","A6NK89",""
"4274","P50749",""
"4275","Q86WH2",""
"4276","Q9H2L5",""
"4277","Q8WWW0","hsa04014 hsa04015 hsa04670 hsa05200 hsa05223"
"4278","Q6ZTQ3","hsa04390"
"4279","Q02833",""
"4280","Q8NHQ8",""
"4281","O75901",""
"4282","Q9Y256","hsa00900 hsa01130"
"4283","Q8TAI7",""
